X,Y,Z,licence
402040,5735960,50.50637451,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
402140,5735960,50.54117838,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
402240,5735960,50.60439948,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
402340,5735960,50.75752268,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
402440,5735960,50.86490403,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
402540,5735960,50.89231813,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
402640,5735960,50.96723812,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
402740,5735960,50.96801263,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
402840,5735960,51.13777246,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
402940,5735960,51.15593503,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
403040,5735960,51.18574362,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
403140,5735960,51.18884042,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
403240,5735960,51.23839329,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
403340,5735960,51.3052709,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
403440,5735960,51.32181034,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
403540,5735960,51.32229386,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
403640,5735960,51.38096603,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
403740,5735960,51.39701716,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
403840,5735960,51.42093048,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
403940,5735960,51.43013792,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
404040,5735960,51.49355788,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
404140,5735960,51.52011185,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
404240,5735960,51.53040035,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
404340,5735960,51.53821591,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
404440,5735960,51.55020244,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
404540,5735960,51.5518019,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
404640,5735960,51.55276577,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
404740,5735960,51.5641672,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
404840,5735960,51.57054161,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
404940,5735960,51.61849712,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
405040,5735960,51.62610829,Datenlizenz Deutschland – Flurabstandskarte NRW 1988 – Version 2.0 - see http://www.govdata.de/dl-de/by-2-0 for more details
